iter	Passed	Remaining
441	1444	1824
442	1447	1820
443	1457	1824
444	1459	1820
445	1465	1819
446	1472	1821
447	1480	1823
448	1527	1874
449	1530	1870
450	1535	1869
451	1538	1865
452	1542	1862
453	1544	1858
454	1550	1856
455	1552	1851
456	1554	1847
457	1557	1842
458	1560	1838
459	1562	1833
460	1566	1831
461	1568	1826
462	1570	1821
463	1573	1817
464	1575	1812
465	1580	1810
466	1582	1806
467	1585	1801
468	1587	1797
469	1590	1793
470	1596	1793
471	1602	1792
472	1604	1787
473	1606	1783
474	1616	1786
475	1619	1782
476	1621	1777
477	1624	1773
478	1633	1777
479	1636	1772
480	1639	1769
481	1654	1778
482	1667	1785
483	1670	1781
484	1672	1776
485	1675	1772
486	1677	1767
487	1680	1763
488	1688	1764
489	1695	1765
490	1698	1761
491	1700	1755
492	1702	1750
493	1707	1749
494	1711	1746
495	1718	1745
496	1720	1741
497	1732	1746
498	1735	1742
499	1737	1737
500	1743	1736
501	1745	1731
502	1747	1726
503	1752	1724
504	1754	1719
505	1756	1715
506	1758	1710
507	1767	1711
508	1771	1708
509	1774	1704
510	1778	1701
511	1784	1700
512	1786	1695
513	1788	1691
514	1793	1689
515	1799	1687
516	1801	1683
517	1803	1678
518	1807	1675
519	1813	1674
520	1815	1669
521	1817	1664
522	1822	1662
523	1825	1657
524	1827	1653
525	1829	1648
526	1835	1647
527	1842	1646
528	1844	1641
529	1846	1637
530	1850	1634
531	1858	1634
532	1860	1630
533	1863	1626
534	1865	1621
535	1870	1619
536	1872	1614
537	1876	1611
538	1877	1606
539	1880	1601
540	1885	1599
541	1887	1594
542	1888	1589
543	1891	1585
544	1893	1580
545	1895	1575
546	1900	1573
547	1903	1570
548	1905	1565
549	1907	1560
550	1909	1556
551	1914	1554
552	1916	1549
553	1918	1544
554	1920	1539
555	1923	1535
556	1925	1531
557	1929	1528
558	1932	1524
559	1934	1519
560	1936	1515
561	1938	1510
562	1940	1506
563	1944	1502
564	1946	1498
565	1948	1494
566	1950	1489
567	1951	1484
568	1956	1481
569	1959	1478
570	1961	1473
571	1964	1469
572	1968	1466
573	1972	1464
574	1980	1464
575	1982	1459
576	1984	1454
577	1986	1450
578	1987	1445
579	1993	1443
580	1995	1439
581	1998	1435
582	2000	1431
583	2002	1426
584	2008	1424
585	2011	1420
586	2013	1416
587	2014	1411
588	2016	1406
589	2017	1402
590	2024	1401
591	2027	1397
592	2029	1392
593	2031	1388
594	2032	1383
595	2037	1381
596	2041	1377
597	2042	1373
598	2044	1368
599	2046	1364
600	2047	1359
601	2054	1358
602	2057	1354
603	2059	1350
604	2060	1345
605	2062	1341
606	2063	1336
607	2069	1334
608	2070	1329
609	2075	1326
610	2077	1322
611	2078	1317
612	2084	1315
613	2085	1311
614	2088	1307
615	2090	1303
616	2092	1298
617	2094	1294
618	2099	1292
619	2101	1287
620	2104	1284
621	2106	1280
622	2108	1275
623	2109	1271
624	2110	1266
625	2115	1263
626	2118	1260
627	2121	1256
628	2123	1252
629	2130	1251
630	2132	1247
631	2134	1242
632	2136	1238
633	2137	1234
634	2142	1231
635	2145	1227
636	2147	1223
637	2149	1219
638	2150	1215
639	2158	1214
640	2160	1210
641	2162	1206
642	2164	1201
643	2167	1198
644	2169	1194
645	2175	1191
646	2176	1187
647	2178	1183
648	2180	1179
649	2183	1175
650	2187	1172
651	2190	1168
652	2191	1164
653	2193	1160
654	2194	1156
655	2199	1153
656	2200	1148
657	2205	1146
658	2206	1141
659	2208	1137
660	2209	1133
661	2211	1128
662	2212	1124
663	2217	1122
664	2219	1118
665	2220	1113
666	2223	1110
667	2225	1106
668	2226	1101
669	2230	1098
670	2232	1094
671	2234	1090
672	2237	1087
673	2240	1083
674	2242	1079
675	2246	1076
676	2249	1073
677	2253	1070
678	2255	1066
679	2257	1062
680	2258	1058
681	2261	1054
682	2263	1050
683	2267	1047
684	2269	1043
685	2271	1039
686	2276	1036
687	2278	1033
688	2281	1029
689	2283	1025
690	2284	1021
691	2286	1017
692	2291	1014
693	2292	1010
694	2294	1006
695	2295	1002
696	2296	998
697	2298	994
698	2300	990
699	2306	988
700	2308	984
701	2309	980
702	2311	976
703	2313	972
704	2315	969
705	2321	966
706	2323	962
707	2324	958
708	2326	954
709	2327	950
710	2329	946
711	2332	943
712	2337	940
713	2338	936
714	2340	932
715	2341	928
716	2343	924
717	2348	922
718	2362	923
719	2364	919
720	2368	916
721	2370	912
722	2372	908
723	2373	904
724	2377	901
725	2379	898
726	2384	895
727	2386	891
728	2387	887
729	2389	883
730	2393	880
731	2395	877
732	2403	875
733	2405	871
734	2406	867
735	2408	863
736	2410	860
737	2416	858
738	2419	854
739	2421	850
740	2423	846
741	2424	843
742	2426	839
743	2431	836
744	2432	832
745	2435	829
746	2438	825
747	2440	822
748	2442	818
749	2445	815
750	2447	811
751	2449	807
752	2450	803
753	2452	800
754	2460	798
755	2462	794
756	2463	790
757	2465	787
758	2467	783
759	2472	780
760	2474	777
761	2477	773
762	2478	769
763	2480	766
764	2481	762
765	2487	759
766	2491	756
767	2492	753
768	2494	749
769	2496	745
770	2497	741
771	2505	739
772	2508	736
773	2509	732
774	2510	728
775	2512	725
776	2513	721
777	2517	718
778	2520	715
779	2521	711
780	2523	707
781	2524	703
782	2528	700
783	2532	697
784	2535	694
785	2537	690
786	2538	687
787	2541	683
788	2544	680
789	2548	677
790	2550	673
791	2551	670
792	2553	666
793	2555	663
794	2558	659
795	2559	655
796	2562	652
797	2564	649
798	2565	645
799	2567	641
800	2570	638
801	2572	635
802	2575	631
803	2578	628
804	2580	625
805	2583	621
806	2585	618
807	2589	615
808	2592	611
809	2594	608
810	2598	605
811	2599	601
812	2601	598
813	2605	595
814	2606	591
815	2608	588
816	2612	585
817	2613	581
818	2614	577
819	2618	574
820	2621	571
821	2625	568
822	2626	564
823	2628	561
824	2630	557
825	2634	554
826	2636	551
827	2640	548
828	2642	545
829	2643	541
830	2645	538
831	2650	535
832	2651	531
833	2653	528
834	2655	524
835	2656	521
836	2658	517
837	2661	514
838	2664	511
839	2665	507
840	2667	504
841	2669	500
842	2670	497
843	2673	494
844	2676	491
845	2678	487
846	2680	484
847	2681	480
848	2683	477
849	2685	473
850	2688	470
851	2692	467
852	2694	464
853	2696	460
854	2699	457
855	2700	454
856	2702	450
857	2703	447
858	2707	444
859	2709	441
860	2711	437
861	2713	434
862	2715	431
863	2717	427
864	2724	425
865	2727	422
866	2729	418
867	2731	415
868	2733	412
869	2737	409
870	2739	405
871	2740	402
872	2742	399
873	2744	395
874	2747	392
875	2748	389
876	2753	386
877	2756	382
878	2758	379
879	2759	376
880	2761	372
881	2762	369
882	2764	366
883	2767	363
884	2769	359
885	2770	356
886	2772	353
887	2774	349
888	2776	346
889	2777	343
890	2779	340
891	2783	337
892	2786	333
893	2788	330
894	2790	327
895	2793	324
896	2795	320
897	2800	318
898	2803	315
899	2806	311
900	2808	308
901	2810	305
902	2817	302
903	2818	299
904	2820	296
905	2822	292
906	2824	289
907	2829	286
908	2832	283
909	2833	280
910	2835	277
911	2837	273
912	2838	270
913	2840	267
914	2842	264
915	2844	260
916	2846	257
917	2851	254
918	2852	251
919	2854	248
920	2855	244
921	2858	241
922	2860	238
923	2862	235
924	2863	232
925	2865	228
926	2866	225
927	2868	222
928	2870	219
929	2871	216
930	2875	213
931	2877	209
932	2878	206
933	2880	203
934	2882	200
935	2883	197
936	2885	193
937	2887	190
938	2889	187
939	2891	184
940	2892	181
941	2894	178
942	2896	175
943	2897	171
944	2899	168
945	2901	165
946	2907	162
